"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
1,24840.78095,20471.75758,-21.8435,141.5,153.3,4086,132,12.48,5.08,10.16,1
1,24145.53112,18437.05758,-79.2607,121.8,159.8,7893,133,12.48,3.49,6.98,2
6,25291.34082,20887.25717,37.446,135.4,102.4,4905,106,12.48,3.67,7.34,2
7,24076.6349,18746.15708,-202.833,139.9,198.4,15867,116,12.48,2.92,5.84,3
7,24549.14465,19054.35708,-9.3615,117.9,118.4,7947,109,12.48,2.53,5.06,2
10,25280.67042,20877.55683,40.5665,133,95.3,1718,117,12.48,6.68,13.36,1
11,24438.68832,19023.35675,97.3596,176.1,138.4,5731,105,12.48,4.13,8.26,1
12,24081.20654,18733.65667,-148.536,121.1,180.7,10811,96,12.48,2.86,5.72,2
12,25291.33957,20877.25667,41.1906,135.8,99.6,2465,97,12.48,4.99,9.98,1
13,24516.52499,19014.65659,22.4676,143.7,129.5,14677,100,12.48,2.29,4.58,4
17,25412.46361,22092.95626,-283.966,121.8,230.7,13314,111,12.48,3.31,6.62,2
18,24710.30376,19761.15617,12.482,124.7,109.1,7587,118,12.48,2.91,5.82,3
19,24497.82658,19040.55609,58.6654,153.9,117.1,1569,102,12.48,9.07,18.14,1
21,24518.86047,19050.95592,28.7086,133.4,107.5,2434,105,12.48,5.28,10.56,1
23,24709.59141,19744.85576,-9.9856,118.2,119.1,19390,109,12.48,1.77,3.54,7
25,25412.05549,22074.45559,-290.831,114.2,233.5,16699,103,12.48,3.29,6.58,4
31,25116.86267,19137.5551,-318.291,151.3,247,11378,98,12.48,4.25,8.5,2
35,24591.41067,19775.15477,36.8219,150.8,130.7,14233,127,12.48,2.62,5.24,4
37,23958.55203,18098.4546,-237.782,113.7,210.2,8112,117,12.48,4.32,8.64,2
38,25006.4057,19097.05452,-154.153,150.8,186.9,38080,105,12.48,1.73,3.46,6
44,24709.58704,19739.35402,42.4388,136.1,99.2,6573,130,12.48,3.06,6.12,2
44,25458.59121,21302.05402,48.6798,153,125.2,1654,118,12.48,9.48,18.96,1
47,25184.53493,19067.35377,-216.563,82.1,194.6,2294,87,12.48,7.25,14.5,1
49,24748.30132,19195.45361,204.081,211,170.7,40889,106,12.48,1.88,3.76,5
55,24750.73883,19192.35311,223.428,219.4,173.5,16851,97,12.48,2.98,5.96,2
60,23827.15905,17858.2527,-265.242,119.1,222.3,4408,117,12.48,6.23,12.46,1
